name,url,language,stars,description
"yandex/yandex-taxi-testsuite","https://github.com/yandex/yandex-taxi-testsuite","Python",159,"testsuite: microservices testing framework"
"shanbay/sea","https://github.com/shanbay/sea","Python",155,"rpc framework built on grpc"
"rclement/mailer","https://github.com/rclement/mailer","Python",151,"Dead-simple mailer micro-service for static websites"
"tangpan360/MicroRCA-Agent","https://github.com/tangpan360/MicroRCA-Agent","Python",144,"2025 CCF International AIOps Challenge | Track 1: Microservice Root Cause Localization Based on Larg"
"open-edge-platform/edge-ai-libraries","https://github.com/open-edge-platform/edge-ai-libraries","Python",117,"Performance optimized libraries, microservices, and tools to support the development of Edge AI appl"
"GoogleCloudPlatform/cloud-run-microservice-template-python","https://github.com/GoogleCloudPlatform/cloud-run-microservice-template-python","Python",108,""
"Pathwit/file2md","https://github.com/Pathwit/file2md","Python",101,"File2MD: A Micro File Parser Service. Friendly to LLM."
"freelawproject/doctor","https://github.com/freelawproject/doctor","Python",97,"A microservice for document conversion at scale"
"roma-glushko/hyx","https://github.com/roma-glushko/hyx","Python",93,"🧘‍♀️ Lightweight fault tolerant primitives for your modern asyncio Python microservices"
"aws-samples/observability-with-amazon-opensearch","https://github.com/aws-samples/observability-with-amazon-opensearch","Python",87,"This repository contains a microservice-based Sample App demonstrating observability capabilities in"
"steemit/hivemind","https://github.com/steemit/hivemind","Python",74,"Developer-friendly microservice powering social networks on the Steem blockchain."
"aws-containers/eks-app-mesh-polyglot-demo","https://github.com/aws-containers/eks-app-mesh-polyglot-demo","Python",74,"End to end deployment and observability of polyglot microservices in Amazon EKS using AWS App Mesh, "
"mSvcBench/muBench","https://github.com/mSvcBench/muBench","Python",72,"µBench is a tool for benchmarking cloud/edge computing platforms that run microservice applications."
"ultra1971/algotrading_stack","https://github.com/ultra1971/algotrading_stack","Python",68,"Microservices Stack for AlgoTrading"
"community-of-python/microbootstrap","https://github.com/community-of-python/microbootstrap","Python",64,"Bootstrap your microservices in a second!"
"zd87pl/ai-crypto-trader","https://github.com/zd87pl/ai-crypto-trader","Python",64,"An experimental cryptocurrency trading system that combines AI-powered analysis with real-time marke"
"daquintero/piel","https://github.com/daquintero/piel","Python",60,"Photonic Integrated ELectronics. Microservices to codesign photonics, electronics, quantum, and more"
"mcgoon/MetaAurora","https://github.com/mcgoon/MetaAurora","Python",58,"Cloud-native, AI-powered styling infrastructure for scalable, microservices-driven user interface ar"
"IBM/ada","https://github.com/IBM/ada","Python",55,"ADA is a microservice created to retrieve analytics metrics from an Airflow database instance."
"xfenix/spellcheck-microservice","https://github.com/xfenix/spellcheck-microservice","Python",54,"Fast spellchecking microservice"
"taogeYT/fast-grpc","https://github.com/taogeYT/fast-grpc","Python",54,"Fast to Code gRPC in Python"
"monoscuits/OptiTruck_ML","https://github.com/monoscuits/OptiTruck_ML","Python",54,"A FastAPI-based machine learning microservice that predicts truck demand levels and price between tw"
"needful-apps/Gunter","https://github.com/needful-apps/Gunter","Python",52,"A modern Flask microservice providing accurate geolocation and comprehensive WHOIS information for I"
"permitio/opal","https://github.com/permitio/opal","Python",5416,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Ce"
"spec-first/connexion","https://github.com/spec-first/connexion","Python",4576,"Connexion is a modern Python web framework that makes spec-first and api-first development easy."
"kennethreitz/responder","https://github.com/kennethreitz/responder","Python",3618,"A familiar HTTP Service Framework for Python."
"vmagamedov/grpclib","https://github.com/vmagamedov/grpclib","Python",981,"Pure-Python gRPC implementation for asyncio"
"cloudblue/django-cqrs","https://github.com/cloudblue/django-cqrs","Python",129,"django-cqrs is an Django application, that implements CQRS data synchronization between several Djan"
"ithaka/apiron","https://github.com/ithaka/apiron","Python",124,":fried_egg: apiron is a Python package that helps you cook a tasty client for RESTful APIs. Just don"
"linto-ai/linto-stt","https://github.com/linto-ai/linto-stt","Python",78,"An automatic speech recognition API"
"dymmond/asyncmq","https://github.com/dymmond/asyncmq","Python",75,"Supercharge your async applications with tasks so fast, you’ll think you’re bending time itself."
"Sharan-Kumar-R/Custom-MCP-Server","https://github.com/Sharan-Kumar-R/Custom-MCP-Server","Python",71,"MCP server for scraping LinkedIn, Facebook, Instagram profiles and Google search."
"juntossomosmais/django-outbox-pattern","https://github.com/juntossomosmais/django-outbox-pattern","Python",58,"A django application to make it easier to use the transactional outbox pattern"
"deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","Python",41476,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy"
"ray-project/ray","https://github.com/ray-project/ray","Python",41052,"Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries fo"
"celery/celery","https://github.com/celery/celery","Python",27938,"Distributed Task Queue (development branch)"
"horovod/horovod","https://github.com/horovod/horovod","Python",14662,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet."
"optuna/optuna","https://github.com/optuna/optuna","Python",13446,"A hyperparameter optimization framework"
"modin-project/modin","https://github.com/modin-project/modin","Python",10352,"Modin: Scale your Pandas workflows by changing a single line of code"
"huggingface/accelerate","https://github.com/huggingface/accelerate","Python",9475,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configu"
"NVIDIA/apex","https://github.com/NVIDIA/apex","Python",8907,"A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch"
"hyperopt/hyperopt","https://github.com/hyperopt/hyperopt","Python",7613,"Distributed Asynchronous Hyperparameter Optimization in Python"
"mher/flower","https://github.com/mher/flower","Python",7097,"Real-time monitor and web admin for Celery distributed task queue"
"hatchet-dev/hatchet","https://github.com/hatchet-dev/hatchet","Python",6475,"🪓 Run Background Tasks at Scale"
"DEAP/deap","https://github.com/DEAP/deap","Python",6319,"Distributed Evolutionary Algorithms in Python"
"netalertx/NetAlertX","https://github.com/netalertx/NetAlertX","Python",5603,"Centralized network visibility and continuous asset discovery.  Monitor devices, detect change, and "
"FedML-AI/FedML","https://github.com/FedML-AI/FedML","Python",3999,"FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and"
"huggingface/safetensors","https://github.com/huggingface/safetensors","Python",3608,"Simple, safe way to store and distribute tensors"
"PaddlePaddle/PARL","https://github.com/PaddlePaddle/PARL","Python",3455,"A high-performance distributed training framework for Reinforcement Learning "
"tensorflow/lingvo","https://github.com/tensorflow/lingvo","Python",2856,"Lingvo"
"python-arq/arq","https://github.com/python-arq/arq","Python",2789,"Fast job queuing and RPC in python with asyncio and redis."
"quay/quay","https://github.com/quay/quay","Python",2738,"Build, Store, and Distribute your Applications and Containers"
"palahsu/DDoS-Ripper","https://github.com/palahsu/DDoS-Ripper","Python",2679,"DDos Ripper a Distributable Denied-of-Service (DDOS) attack server that cuts off targets or surround"
"mitogen-hq/mitogen","https://github.com/mitogen-hq/mitogen","Python",2482,"Distributed self-replicating programs in Python"
"Lightning-AI/torchmetrics","https://github.com/Lightning-AI/torchmetrics","Python",2401,"Machine learning metrics for distributed, scalable PyTorch applications."
"fugue-project/fugue","https://github.com/fugue-project/fugue","Python",2136,"A unified interface for distributed computing. Fugue executes SQL, Python, Pandas, and Polars code o"
"deedy5/ddgs","https://github.com/deedy5/ddgs","Python",2118,"DDGS | Dux Distributed Global Search. A metasearch library that aggregates results from diverse web "
"huggingface/picotron","https://github.com/huggingface/picotron","Python",2041,"Minimalistic 4D-parallelism distributed training framework for education purpose"
"taskiq-python/taskiq","https://github.com/taskiq-python/taskiq","Python",1879,"Distributed task queue with full async support"
"uber/petastorm","https://github.com/uber/petastorm","Python",1875,"Petastorm library enables single machine or distributed training and evaluation of deep learning mod"
"EMI-Group/evox","https://github.com/EMI-Group/evox","Python",1840,"Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evoluti"
"pytest-dev/pytest-xdist","https://github.com/pytest-dev/pytest-xdist","Python",1780,"pytest plugin for distributed testing and loop-on-failures testing modes. "
"ceph/ceph-ansible","https://github.com/ceph/ceph-ansible","Python",1774,"Ansible playbooks to deploy Ceph, the distributed filesystem."
"Yelp/paasta","https://github.com/Yelp/paasta","Python",1721,"An open, distributed platform as a service"
"dask/distributed","https://github.com/dask/distributed","Python",1664,"A distributed task scheduler for Dask"
"intelligent-machine-learning/dlrover","https://github.com/intelligent-machine-learning/dlrover","Python",1626,"DLRover: An Automatic Distributed Deep Learning System"
"ByteDance-Seed/VeOmni","https://github.com/ByteDance-Seed/VeOmni","Python",1597,"VeOmni: Scaling Any Modality Model Training with Model-Centric Distributed Recipe Zoo"
"opendilab/DI-star","https://github.com/opendilab/DI-star","Python",1332,"An artificial intelligence platform for the StarCraft II with large-scale distributed training and g"
"ByteDance-Seed/Triton-distributed","https://github.com/ByteDance-Seed/Triton-distributed","Python",1328,"Distributed Compiler based on Triton for Parallel Systems"
"Haidra-Org/AI-Horde","https://github.com/Haidra-Org/AI-Horde","Python",1311,"A crowdsourced distributed cluster for AI art and text generation"
"canonical/snapcraft","https://github.com/canonical/snapcraft","Python",1254,"Package, distribute, and update any app for Linux and IoT."
"brainix/pottery","https://github.com/brainix/pottery","Python",1234,"Redis for humans. 🌎🌍🌏"
"Netflix/repokid","https://github.com/Netflix/repokid","Python",1148,"AWS Least Privilege for Distributed, High-Velocity Deployment"
"tiangolo/dockerswarm.rocks","https://github.com/tiangolo/dockerswarm.rocks","Python",1148,"Docker Swarm mode rocks! Ideas, tools and recipes. Get a production-ready, distributed, HTTPS served"
"run-house/kubetorch","https://github.com/run-house/kubetorch","Python",1146,"Distribute and run AI workloads on Kubernetes magically in Python, like PyTorch for ML infra."
"nnaisense/evotorch","https://github.com/nnaisense/evotorch","Python",1114,"Advanced evolutionary computation library built directly on top of PyTorch, created at NNAISENSE."
"GradientHQ/parallax","https://github.com/GradientHQ/parallax","Python",1095,"Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere"
"modal-labs/modal-examples","https://github.com/modal-labs/modal-examples","Python",1094,"Examples of programs built using Modal"
"inference-labs-inc/dsperse","https://github.com/inference-labs-inc/dsperse","Python",991,"Distributed zkML"
"volcengine/veScale","https://github.com/volcengine/veScale","Python",923," Byted PyTorch Distributed for Hyperscale Training of LLMs and RLs"
"ydf0509/funboost","https://github.com/ydf0509/funboost","Python",877,"pip install funboost，python全功能分布式函数调度框架,funboost的功能是全面性重量级，用户能想得到的功能99%全都有;funboost的使用方式是轻量级，只有@boos"
"AgileRL/AgileRL","https://github.com/AgileRL/AgileRL","Python",869,"Streamlining reinforcement learning with RLOps. State-of-the-art RL algorithms and tools, with 10x f"
"PrimeIntellect-ai/prime-diloco","https://github.com/PrimeIntellect-ai/prime-diloco","Python",850,"prime is a framework for efficient, globally distributed training of AI models over the internet."
"optuna/optuna-examples","https://github.com/optuna/optuna-examples","Python",827,"Examples for https://github.com/optuna/optuna"
"citusdata/django-multitenant","https://github.com/citusdata/django-multitenant","Python",806,"Python/Django support for distributed multi-tenant databases like Postgres+Citus"
"OpenBMB/IoA","https://github.com/OpenBMB/IoA","Python",798,"An open-source framework for collaborative AI agents, enabling diverse, distributed agents to team u"
"internetarchive/brozzler","https://github.com/internetarchive/brozzler","Python",781,"brozzler - distributed browser-based web crawler"
"hyperledger-indy/indy-node","https://github.com/hyperledger-indy/indy-node","Python",702,"The server portion of a distributed ledger purpose-built for decentralized identity."
"census-instrumentation/opencensus-python","https://github.com/census-instrumentation/opencensus-python","Python",675,"A stats collection and distributed tracing framework"
"jupyter-server/enterprise_gateway","https://github.com/jupyter-server/enterprise_gateway","Python",659,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share res"
"koordinates/kart","https://github.com/koordinates/kart","Python",653,"Distributed version-control for geospatial and tabular data"
"oduwsdl/ipwb","https://github.com/oduwsdl/ipwb","Python",648,"InterPlanetary Wayback: A distributed and persistent archive replay system using IPFS"
"Pyrlang/Pyrlang","https://github.com/Pyrlang/Pyrlang","Python",633,"Erlang node implemented in Python 3.5+ (Asyncio-based)"
"SandAI-org/MagiAttention","https://github.com/SandAI-org/MagiAttention","Python",626,"A Distributed Attention Towards Linear Scalability for Ultra-Long Context, Heterogeneous Data Traini"
"pingcap/docs","https://github.com/pingcap/docs","Python",617,"TiDB database documentation. TiDB is an open-source, cloud-native, distributed, MySQL-Compatible dat"
"wakatime/wakaq","https://github.com/wakatime/wakaq","Python",590,"Background task queue for Python backed by Redis, a super minimal Celery"
"LambdaLabsML/distributed-training-guide","https://github.com/LambdaLabsML/distributed-training-guide","Python",573,"Best practices & guides on how to write distributed pytorch training code"
"IBM/federated-learning-lib","https://github.com/IBM/federated-learning-lib","Python",526,"A library for federated learning (a distributed machine learning process) in an enterprise environme"
"markqvist/LXMF","https://github.com/markqvist/LXMF","Python",507,"A universal, distributed and secure messaging protocol for Reticulum"
"floooh/fips","https://github.com/floooh/fips","Python",503,"High-level build system for distributed, multi-platform C/C++ projects."
"terrytangyuan/distributed-ml-patterns","https://github.com/terrytangyuan/distributed-ml-patterns","Python",489,"Distributed Machine Learning Patterns from Manning Publications by Yuan Tang https://bit.ly/2RKv8Zo"
"robertvoy/ComfyUI-Distributed","https://github.com/robertvoy/ComfyUI-Distributed","Python",487,"ComfyUI extension that enables multi-GPU processing locally, remotely and in the cloud"
"VOLTTRON/volttron","https://github.com/VOLTTRON/volttron","Python",483,"VOLTTRON Distributed Control System Platform"
"jr-robotics/robo-gym","https://github.com/jr-robotics/robo-gym","Python",473,"An open source toolkit for Distributed Deep Reinforcement Learning on real and simulated robots."
"CERT-Polska/karton","https://github.com/CERT-Polska/karton","Python",460,"Distributed malware processing framework based on Python, Redis and S3."
"maze-agent/Maze","https://github.com/maze-agent/Maze","Python",447,"A distributed framework for LLM agents"
"cr0hn/aiotasks","https://github.com/cr0hn/aiotasks","Python",443,"A Celery like task manager that distributes Asyncio coroutines"
"modal-labs/modal-client","https://github.com/modal-labs/modal-client","Python",433,"Python client library for Modal"
"labgrid-project/labgrid","https://github.com/labgrid-project/labgrid","Python",432,"Embedded systems control library for development, testing and installation"
"Eclectic-Sheep/sheeprl","https://github.com/Eclectic-Sheep/sheeprl","Python",420,"Distributed Reinforcement Learning accelerated by Lightning Fabric"
"Oneflow-Inc/libai","https://github.com/Oneflow-Inc/libai","Python",405,"LiBai(李白): A Toolbox for Large-Scale Distributed Parallel Training"
"RTimothyEdwards/open_pdks","https://github.com/RTimothyEdwards/open_pdks","Python",389,"PDK installer for open-source EDA tools and toolchains.  Distributed with setups for the SkyWater 13"
"hashview/hashview","https://github.com/hashview/hashview","Python",387,"A web front-end for password cracking and analytics"
"tensorflow/cloud","https://github.com/tensorflow/cloud","Python",382,"The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and traini"
"team-ocean/veros","https://github.com/team-ocean/veros","Python",381,"The versatile ocean simulator, in pure Python, powered by JAX."
"AnubisLMS/Anubis","https://github.com/AnubisLMS/Anubis","Python",375,"Distributed LMS for automating Computing Science Courses From NYU"
"py-sherlock/sherlock","https://github.com/py-sherlock/sherlock","Python",375,"Easy distributed locks for Python with a choice of backends."
"brainiak/brainiak","https://github.com/brainiak/brainiak","Python",367,"Brain Imaging Analysis Kit"
"JiuZero/z0scan","https://github.com/JiuZero/z0scan","Python",357,"A lightweight active and passive scanner that combines the advantages of local and distributed model"
"lithops-cloud/lithops","https://github.com/lithops-cloud/lithops","Python",357,"A multi-cloud framework for big data analytics and embarrassingly parallel jobs, that provides an un"
"bodo-ai/Bodo","https://github.com/bodo-ai/Bodo","Python",353,"High Performance Data Processing in Python"
"wolph/portalocker","https://github.com/wolph/portalocker","Python",319,"An easy library for Python file locking. It works on Windows, Linux, BSD and Unix systems and can ev"
"nabla-ml/nabla","https://github.com/nabla-ml/nabla","Python",318,"NABLA - Distributed Deep Learning"
"selinon/selinon","https://github.com/selinon/selinon","Python",313," An advanced distributed task flow management on top of Celery "
"bobbui/json-logging-python","https://github.com/bobbui/json-logging-python","Python",308,"Cloud-native distributed Python logging library to emit JSON log that can be easily indexed by loggi"
"kubernetes-sigs/jobset","https://github.com/kubernetes-sigs/jobset","Python",303,"JobSet: a k8s native API for distributed ML training and HPC workloads"
"DeNA/HandyRL","https://github.com/DeNA/HandyRL","Python",302,"HandyRL is a handy and simple framework based on Python and PyTorch for distributed reinforcement le"
"goodboy/tractor","https://github.com/goodboy/tractor","Python",301,"distributed structured concurrency"
"Epistimio/orion","https://github.com/Epistimio/orion","Python",300,"Asynchronous Distributed Hyperparameter Optimization."
"Ibotta/sk-dist","https://github.com/Ibotta/sk-dist","Python",287,"Distributed scikit-learn meta-estimators in PySpark"
"enlite-ai/maze","https://github.com/enlite-ai/maze","Python",286,"Maze Applied Reinforcement Learning Framework"
"hanruihua/rl_rvo_nav","https://github.com/hanruihua/rl_rvo_nav","Python",281,"[RA-Letter 2022] Reinforcement Learned Distributed Multi-Robot Navigation with Reciprocal Velocity O"
"adidas/lakehouse-engine","https://github.com/adidas/lakehouse-engine","Python",279,"The Lakehouse Engine is a configuration driven Spark framework, written in Python, serving as a scal"
"NVIDIA-NeMo/Automodel","https://github.com/NVIDIA-NeMo/Automodel","Python",262,"Pytorch Distributed native training library for LLMs/VLMs with OOTB Hugging Face support"
"dask/dask-jobqueue","https://github.com/dask/dask-jobqueue","Python",253,"Deploy Dask on job schedulers like PBS, SLURM, and SGE"
"chairc/Integrated-Design-Diffusion-Model","https://github.com/chairc/Integrated-Design-Diffusion-Model","Python",253,"IDDM (Industrial, landscape, animate, latent diffusion), support LDM, DDPM, DDIM, PLMS, webui and di"
"meta-pytorch/torcheval","https://github.com/meta-pytorch/torcheval","Python",247,"A library that contains a rich collection of performant PyTorch model metrics, a simple interface to"
"zh320/realtime-semantic-segmentation-pytorch","https://github.com/zh320/realtime-semantic-segmentation-pytorch","Python",244,"PyTorch implementation of over 30 realtime semantic segmentations models, e.g. BiSeNetv1, BiSeNetv2,"
"gaetanlhf/EXPOSE","https://github.com/gaetanlhf/EXPOSE","Python",241,"Your no-config, no-install, globally distributed open-source tool to expose your local services"
"helmholtz-analytics/heat","https://github.com/helmholtz-analytics/heat","Python",230,"Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python"
"dask/dask-image","https://github.com/dask/dask-image","Python",225,"Distributed image processing"
"guapier/zi5book","https://github.com/guapier/zi5book","Python",218,"book.zi5.me全站kindle电子书籍爬取，按照作者书籍名分类，每本书有mobi和equb两种格式，采用分布式进行全站爬取"
"ICB-DCM/pyABC","https://github.com/ICB-DCM/pyABC","Python",216,"distributed, likelihood-free inference"
"chiragbiradar/DDoS-Attack-Detection-and-Mitigation","https://github.com/chiragbiradar/DDoS-Attack-Detection-and-Mitigation","Python",213,"SDN networks (Software Defined Networking ) are exposed to  new security threats and attacks, especi"
"harveybc/gym-fx","https://github.com/harveybc/gym-fx","Python",208,"Forex trading simulator environment for OpenAI Gym, observations contain the order status, performan"
"ChenHongruixuan/BRIGHT","https://github.com/ChenHongruixuan/BRIGHT","Python",204,"[ESSD 2025 & IEEE GRSS DFC 2025] Bright: A globally distributed multimodal VHR dataset for all-weath"
"AndyGrant/OpenBench","https://github.com/AndyGrant/OpenBench","Python",203,"OpenBench is a Distributed SPRT Testing Framework for Chess Engines"
"tum-ens/urbs","https://github.com/tum-ens/urbs","Python",202,"A linear optimisation model for distributed energy systems"
"MLOPTPSU/FedTorch","https://github.com/MLOPTPSU/FedTorch","Python",193,"FedTorch is a generic repository for benchmarking different federated and distributed learning algor"
"aio-libs/aiozipkin","https://github.com/aio-libs/aiozipkin","Python",192,"Distributed tracing instrumentation for asyncio with zipkin"
"papuSpartan/stable-diffusion-webui-distributed","https://github.com/papuSpartan/stable-diffusion-webui-distributed","Python",182,"Chains stable-diffusion-webui instances together to facilitate faster image generation."
"breezy-team/breezy","https://github.com/breezy-team/breezy","Python",176,"A Distributed Version Control System with a Friendly UI"
"Toloka/dbt-af","https://github.com/Toloka/dbt-af","Python",168,"Distributed run of dbt models using Airflow"
"google/xarray-beam","https://github.com/google/xarray-beam","Python",165,"Distributed Xarray with Apache Beam"
"meta-pytorch/torchsnapshot","https://github.com/meta-pytorch/torchsnapshot","Python",164,"A performant, memory-efficient checkpointing library for PyTorch applications, designed with large, "
"allenai/genesys","https://github.com/allenai/genesys","Python",164,"Source code and utilities for the Genesys distributed language model architecture discovery system."
"NetEase-Media/grps_trtllm","https://github.com/NetEase-Media/grps_trtllm","Python",161,"Higher performance OpenAI LLM service than vLLM serve: A pure C++ high-performance OpenAI LLM servic"
"MolSSI/QCFractal","https://github.com/MolSSI/QCFractal","Python",159,"A distributed compute and database platform for quantum chemistry. "
"long2ice/rearq","https://github.com/long2ice/rearq","Python",159,"A distributed task queue built with asyncio and redis, with built-in web interface"
"traceloop/opentelemetry-mcp-server","https://github.com/traceloop/opentelemetry-mcp-server","Python",158,"Unified MCP server for querying OpenTelemetry traces across multiple backends (Jaeger, Tempo, Tracel"
"dptech-corp/Uni-Core","https://github.com/dptech-corp/Uni-Core","Python",157,"an efficient distributed PyTorch framework"
"kubeedge/ianvs","https://github.com/kubeedge/ianvs","Python",153,"Distributed Synergy AI Benchmarking"
"lzjever/routilux","https://github.com/lzjever/routilux","Python",150,"Routines-based, event-driven workflow orchestration for Python—compose complex data/AI pipelines and"
"alibaba/graphlearn-for-pytorch","https://github.com/alibaba/graphlearn-for-pytorch","Python",147,"A GPU-accelerated graph learning library for PyTorch, facilitating the scaling of GNN training and i"
"benroeder/conductor","https://github.com/benroeder/conductor","Python",146,"A framework for testing distributed systems"
"PrimeIntellect-ai/prime","https://github.com/PrimeIntellect-ai/prime","Python",146,"Official CLI and Python SDK for Prime Intellect - access GPU compute, remote sandboxes, RL environme"
"akashblackhat/DDos_Attack.py","https://github.com/akashblackhat/DDos_Attack.py","Python",146,"NetSTRIK is a powerful DDoS (Distributed Denial of Service) attack tool that simulates heavy traffic"
"nvidia-cosmos/cosmos-curate","https://github.com/nvidia-cosmos/cosmos-curate","Python",143,"Cosmos-Curate is a powerful video curation system that processes, analyzes, and organizes video cont"
"aws-solutions/network-orchestration-for-aws-transit-gateway","https://github.com/aws-solutions/network-orchestration-for-aws-transit-gateway","Python",141,"The Network Orchestration for AWS Transit Gateway solution automates the process of setting up and m"
"thenetcircle/dino","https://github.com/thenetcircle/dino","Python",137,"Distributed notifications using websockets"
"schatty/oprl","https://github.com/schatty/oprl","Python",137,"A Modular Library for Off-Policy Reinforcement Learning with a focus on SafeRL and distributed compu"
"closeio/redis-hashring","https://github.com/closeio/redis-hashring","Python",137,"A Python library that implements a consistent hash ring for building distributed apps"
"petuum/autodist","https://github.com/petuum/autodist","Python",134,"Simple Distributed Deep Learning on TensorFlow"
"DASDAE/dascore","https://github.com/DASDAE/dascore","Python",134,"A python library for distributed fiber optic sensing"
"openstack/tooz","https://github.com/openstack/tooz","Python",132,"Coordinate distributed systems. Mirror of code maintained at opendev.org."
"rqlite/pyrqlite","https://github.com/rqlite/pyrqlite","Python",127,"Python (DB-API 2.0) Client for rqlite, the lightweight, distributed database built on SQLite."
"axsaucedo/kaos","https://github.com/axsaucedo/kaos","Python",124,"🚀 K8s Agent Orchestration System: Managing the KAOS in your large-scale distributed multi-agent syst"
"HDFGroup/h5pyd","https://github.com/HDFGroup/h5pyd","Python",123,"h5py  distributed - Python client library for HDF Rest API"
"galilai-group/stable-pretraining","https://github.com/galilai-group/stable-pretraining","Python",123,"Reliable, minimal and scalable library for pretraining foundation and world models"
"isce-framework/dolphin","https://github.com/isce-framework/dolphin","Python",120,"InSAR phase linking library for creating surface displacement maps using persistent scatterer (PS) a"
"tastyware/streaq","https://github.com/tastyware/streaq","Python",117,"Fast, async, fully-typed distributed task queue via Redis streams"
"hazelcast/hazelcast-python-client","https://github.com/hazelcast/hazelcast-python-client","Python",116,"Hazelcast Python Client"
"TengXiaoDai/DistributedCrawling","https://github.com/TengXiaoDai/DistributedCrawling","Python",114,"This is what I do with Pthon distributed crawler"
"MooreThreads/SimuMax","https://github.com/MooreThreads/SimuMax","Python",114,"a static analytical model for LLM distributed training"
"DistributedML/FoolsGold","https://github.com/DistributedML/FoolsGold","Python",110,"A sybil-resilient distributed learning protocol."
"infinigence/FUSCO","https://github.com/infinigence/FUSCO","Python",110,"High-performance distributed data shuffling (all-to-all) library for MoE training and inference"
"MIT-REALM/gcbfplus","https://github.com/MIT-REALM/gcbfplus","Python",108,"Jax Official Implementation of T-RO Paper: Songyuan Zhang*, Oswin So*, Kunal Garg, Chuchu Fan: 'GCBF"
"G-U-N/a-PyTorch-Tutorial-to-Class-Incremental-Learning","https://github.com/G-U-N/a-PyTorch-Tutorial-to-Class-Incremental-Learning","Python",107,"a PyTorch Tutorial to Class-Incremental Learning | a Distributed Training Template of CIL with core "
